Year,Tipo de valor,Territorio,Comarca,Municipio,Units,GeoCode,Serie,Value
2017,Nominal,,,Zeberio,Porcentaje,Zeberio,Valor añadido del sector manufacturo en proporción al PIB,12.2
2019,Nominal,,,Zeberio,Porcentaje,Zeberio,Valor añadido del sector manufacturo en proporción al PIB,13.2
2021,Nominal,,,Zeberio,Porcentaje,Zeberio,Valor añadido del sector manufacturo en proporción al PIB,11.0
2018,Nominal,,,Zeberio,Euro per cápita,Zeberio,Valor añadido del sector manufacturo,2216.2
2014,Nominal,,,Zeberio,Euro per cápita,Zeberio,Valor añadido del sector manufacturo,1649.3
2016,Nominal,,,Zeberio,Euro per cápita,Zeberio,Valor añadido del sector manufacturo,1921.0
2020,Nominal,,,Zeberio,Euro per cápita,Zeberio,Valor añadido del sector manufacturo,1667.9
2015,Nominal,,,Zeberio,Euro per cápita,Zeberio,Valor añadido del sector manufacturo,1817.8
2017,Nominal,,,Zeberio,Euro per cápita,Zeberio,Valor añadido del sector manufacturo,2158.3
2019,Nominal,,,Zeberio,Euro per cápita,Zeberio,Valor añadido del sector manufacturo,2364.8
2021,Nominal,,,Zeberio,Euro per cápita,Zeberio,Valor añadido del sector manufacturo,1997.2
2019,Nominal,,,Zegama,Porcentaje,Zegama,Valor añadido del sector manufacturo en proporción al PIB,38.2
2018,Nominal,,,Zegama,Euro per cápita,Zegama,Valor añadido del sector manufacturo,6523.8
2015,Nominal,,,Zegama,Euro per cápita,Zegama,Valor añadido del sector manufacturo,4835.2
2015,Nominal,,,Zegama,Porcentaje,Zegama,Valor añadido del sector manufacturo en proporción al PIB,31.8
2014,Nominal,,,Zegama,Porcentaje,Zegama,Valor añadido del sector manufacturo en proporción al PIB,30.6
2017,Nominal,,,Zegama,Porcentaje,Zegama,Valor añadido del sector manufacturo en proporción al PIB,30.9
2018,Nominal,,,Zegama,Porcentaje,Zegama,Valor añadido del sector manufacturo en proporción al PIB,33.6
2016,Nominal,,,Zegama,Porcentaje,Zegama,Valor añadido del sector manufacturo en proporción al PIB,31.7
2020,Nominal,,,Zegama,Porcentaje,Zegama,Valor añadido del sector manufacturo en proporción al PIB,39.2
2016,Nominal,,,Zegama,Euro per cápita,Zegama,Valor añadido del sector manufacturo,5403.9
2021,Nominal,,,Zegama,Porcentaje,Zegama,Valor añadido del sector manufacturo en proporción al PIB,39.1
2014,Nominal,,,Zegama,Euro per cápita,Zegama,Valor añadido del sector manufacturo,4464.7
2017,Nominal,,,Zegama,Euro per cápita,Zegama,Valor añadido del sector manufacturo,5532.3
2020,Nominal,,,Zegama,Euro per cápita,Zegama,Valor añadido del sector manufacturo,6442.0
2019,Nominal,,,Zegama,Euro per cápita,Zegama,Valor añadido del sector manufacturo,7152.3
2021,Nominal,,,Zegama,Euro per cápita,Zegama,Valor añadido del sector manufacturo,6415.8
2016,Nominal,,,Zerain,Porcentaje,Zerain,Valor añadido del sector manufacturo en proporción al PIB,46.3
2017,Nominal,,,Zerain,Euro per cápita,Zerain,Valor añadido del sector manufacturo,11339.8
2019,Nominal,,,Zerain,Porcentaje,Zerain,Valor añadido del sector manufacturo en proporción al PIB,33.5
2021,Nominal,,,Zerain,Euro per cápita,Zerain,Valor añadido del sector manufacturo,6158.8
2020,Nominal,,,Zerain,Porcentaje,Zerain,Valor añadido del sector manufacturo en proporción al PIB,29.4
2015,Nominal,,,Zerain,Porcentaje,Zerain,Valor añadido del sector manufacturo en proporción al PIB,39.8
2015,Nominal,,,Zerain,Euro per cápita,Zerain,Valor añadido del sector manufacturo,9782.5
2016,Nominal,,,Zerain,Euro per cápita,Zerain,Valor añadido del sector manufacturo,12353.4
2019,Nominal,,,Zerain,Euro per cápita,Zerain,Valor añadido del sector manufacturo,8659.3
2018,Nominal,,,Zerain,Euro per cápita,Zerain,Valor añadido del sector manufacturo,8778.6
2014,Nominal,,,Zerain,Porcentaje,Zerain,Valor añadido del sector manufacturo en proporción al PIB,40.6
2014,Nominal,,,Zerain,Euro per cápita,Zerain,Valor añadido del sector manufacturo,8865.9
2020,Nominal,,,Zerain,Euro per cápita,Zerain,Valor añadido del sector manufacturo,6528.0
2018,Nominal,,,Zerain,Porcentaje,Zerain,Valor añadido del sector manufacturo en proporción al PIB,40.3
2021,Nominal,,,Zerain,Porcentaje,Zerain,Valor añadido del sector manufacturo en proporción al PIB,27.7
2017,Nominal,,,Zerain,Porcentaje,Zerain,Valor añadido del sector manufacturo en proporción al PIB,43.8
2016,Nominal,,,Zestoa,Porcentaje,Zestoa,Valor añadido del sector manufacturo en proporción al PIB,43.9
2019,Nominal,,,Zestoa,Porcentaje,Zestoa,Valor añadido del sector manufacturo en proporción al PIB,47.1
2020,Nominal,,,Zestoa,Porcentaje,Zestoa,Valor añadido del sector manufacturo en proporción al PIB,55.4
2018,Nominal,,,Zestoa,Euro per cápita,Zestoa,Valor añadido del sector manufacturo,16636.5
2015,Nominal,,,Zestoa,Euro per cápita,Zestoa,Valor añadido del sector manufacturo,17329.6
2015,Nominal,,,Zestoa,Porcentaje,Zestoa,Valor añadido del sector manufacturo en proporción al PIB,47.9
2016,Nominal,,,Zestoa,Euro per cápita,Zestoa,Valor añadido del sector manufacturo,15506.7
2019,Nominal,,,Zestoa,Euro per cápita,Zestoa,Valor añadido del sector manufacturo,20118.3
2014,Nominal,,,Zestoa,Euro per cápita,Zestoa,Valor añadido del sector manufacturo,15601.3
2021,Nominal,,,Zestoa,Porcentaje,Zestoa,Valor añadido del sector manufacturo en proporción al PIB,50.3
2017,Nominal,,,Zestoa,Porcentaje,Zestoa,Valor añadido del sector manufacturo en proporción al PIB,43.6
2017,Nominal,,,Zestoa,Euro per cápita,Zestoa,Valor añadido del sector manufacturo,15254.6
2014,Nominal,,,Zestoa,Porcentaje,Zestoa,Valor añadido del sector manufacturo en proporción al PIB,46.0
2021,Nominal,,,Zestoa,Euro per cápita,Zestoa,Valor añadido del sector manufacturo,22793.9
2020,Nominal,,,Zestoa,Euro per cápita,Zestoa,Valor añadido del sector manufacturo,26095.9
2018,Nominal,,,Zestoa,Porcentaje,Zestoa,Valor añadido del sector manufacturo en proporción al PIB,44.7
2016,Nominal,,,Zierbena,Porcentaje,Zierbena,Valor añadido del sector manufacturo en proporción al PIB,16.8
2014,Nominal,,,Zierbena,Euro per cápita,Zierbena,Valor añadido del sector manufacturo,21496.2
2020,Nominal,,,Zierbena,Euro per cápita,Zierbena,Valor añadido del sector manufacturo,34607.0
2017,Nominal,,,Zierbena,Euro per cápita,Zierbena,Valor añadido del sector manufacturo,18490.0
2021,Nominal,,,Zierbena,Porcentaje,Zierbena,Valor añadido del sector manufacturo en proporción al PIB,23.6
2019,Nominal,,,Zierbena,Porcentaje,Zierbena,Valor añadido del sector manufacturo en proporción al PIB,18.4
2016,Nominal,,,Zierbena,Euro per cápita,Zierbena,Valor añadido del sector manufacturo,23806.1
2015,Nominal,,,Zierbena,Porcentaje,Zierbena,Valor añadido del sector manufacturo en proporción al PIB,14.4
2017,Nominal,,,Zierbena,Porcentaje,Zierbena,Valor añadido del sector manufacturo en proporción al PIB,9.6
2020,Nominal,,,Zierbena,Porcentaje,Zierbena,Valor añadido del sector manufacturo en proporción al PIB,21.4
2019,Nominal,,,Zierbena,Euro per cápita,Zierbena,Valor añadido del sector manufacturo,28644.3
2021,Nominal,,,Zierbena,Euro per cápita,Zierbena,Valor añadido del sector manufacturo,43442.7
2014,Nominal,,,Zierbena,Porcentaje,Zierbena,Valor añadido del sector manufacturo en proporción al PIB,15.4
2015,Nominal,,,Zierbena,Euro per cápita,Zierbena,Valor añadido del sector manufacturo,23207.7
2018,Nominal,,,Zierbena,Porcentaje,Zierbena,Valor añadido del sector manufacturo en proporción al PIB,10.3
2018,Nominal,,,Zierbena,Euro per cápita,Zierbena,Valor añadido del sector manufacturo,29073.0
2018,Nominal,,,Zigoitia,Euro per cápita,Zigoitia,Valor añadido del sector manufacturo,15710.3
2017,Nominal,,,Zigoitia,Euro per cápita,Zigoitia,Valor añadido del sector manufacturo,16037.1
2016,Nominal,,,Zigoitia,Euro per cápita,Zigoitia,Valor añadido del sector manufacturo,20232.6
2014,Nominal,,,Zigoitia,Euro per cápita,Zigoitia,Valor añadido del sector manufacturo,15922.3
2019,Nominal,,,Zigoitia,Porcentaje,Zigoitia,Valor añadido del sector manufacturo en proporción al PIB,38.3
2021,Nominal,,,Zigoitia,Porcentaje,Zigoitia,Valor añadido del sector manufacturo en proporción al PIB,28.7
2017,Nominal,,,Zigoitia,Porcentaje,Zigoitia,Valor añadido del sector manufacturo en proporción al PIB,39.3
2015,Nominal,,,Zigoitia,Euro per cápita,Zigoitia,Valor añadido del sector manufacturo,27643.2
2021,Nominal,,,Zigoitia,Euro per cápita,Zigoitia,Valor añadido del sector manufacturo,9419.1
2015,Nominal,,,Zigoitia,Porcentaje,Zigoitia,Valor añadido del sector manufacturo en proporción al PIB,51.9
2014,Nominal,,,Zigoitia,Porcentaje,Zigoitia,Valor añadido del sector manufacturo en proporción al PIB,39.5
2020,Nominal,,,Zigoitia,Porcentaje,Zigoitia,Valor añadido del sector manufacturo en proporción al PIB,36.4
2016,Nominal,,,Zigoitia,Porcentaje,Zigoitia,Valor añadido del sector manufacturo en proporción al PIB,42.5
2018,Nominal,,,Zigoitia,Porcentaje,Zigoitia,Valor añadido del sector manufacturo en proporción al PIB,38.7
2019,Nominal,,,Zigoitia,Euro per cápita,Zigoitia,Valor añadido del sector manufacturo,15688.8
2020,Nominal,,,Zigoitia,Euro per cápita,Zigoitia,Valor añadido del sector manufacturo,11785.5
2016,Nominal,,,Ziortza-Bolibar,Euro per cápita,Ziortza-Bolibar,Valor añadido del sector manufacturo,263.2
2019,Nominal,,,Ziortza-Bolibar,Porcentaje,Ziortza-Bolibar,Valor añadido del sector manufacturo en proporción al PIB,3.9
2016,Nominal,,,Ziortza-Bolibar,Porcentaje,Ziortza-Bolibar,Valor añadido del sector manufacturo en proporción al PIB,2.4
2014,Nominal,,,Ziortza-Bolibar,Euro per cápita,Ziortza-Bolibar,Valor añadido del sector manufacturo,274.0
2018,Nominal,,,Ziortza-Bolibar,Euro per cápita,Ziortza-Bolibar,Valor añadido del sector manufacturo,187.6
2017,Nominal,,,Ziortza-Bolibar,Euro per cápita,Ziortza-Bolibar,Valor añadido del sector manufacturo,328.3
2020,Nominal,,,Ziortza-Bolibar,Euro per cápita,Ziortza-Bolibar,Valor añadido del sector manufacturo,228.9
2020,Nominal,,,Ziortza-Bolibar,Porcentaje,Ziortza-Bolibar,Valor añadido del sector manufacturo en proporción al PIB,2.3
2021,Nominal,,,Ziortza-Bolibar,Euro per cápita,Ziortza-Bolibar,Valor añadido del sector manufacturo,210.4
2019,Nominal,,,Ziortza-Bolibar,Euro per cápita,Ziortza-Bolibar,Valor añadido del sector manufacturo,467.4
2014,Nominal,,,Ziortza-Bolibar,Porcentaje,Ziortza-Bolibar,Valor añadido del sector manufacturo en proporción al PIB,2.6
2021,Nominal,,,Ziortza-Bolibar,Porcentaje,Ziortza-Bolibar,Valor añadido del sector manufacturo en proporción al PIB,1.8
2017,Nominal,,,Ziortza-Bolibar,Porcentaje,Ziortza-Bolibar,Valor añadido del sector manufacturo en proporción al PIB,3.2
2015,Nominal,,,Ziortza-Bolibar,Porcentaje,Ziortza-Bolibar,Valor añadido del sector manufacturo en proporción al PIB,2.5
2015,Nominal,,,Ziortza-Bolibar,Euro per cápita,Ziortza-Bolibar,Valor añadido del sector manufacturo,257.3
2018,Nominal,,,Ziortza-Bolibar,Porcentaje,Ziortza-Bolibar,Valor añadido del sector manufacturo en proporción al PIB,1.7
2015,Nominal,,,Zizurkil,Porcentaje,Zizurkil,Valor añadido del sector manufacturo en proporción al PIB,46.0
2015,Nominal,,,Zizurkil,Euro per cápita,Zizurkil,Valor añadido del sector manufacturo,12671.9
2020,Nominal,,,Zizurkil,Porcentaje,Zizurkil,Valor añadido del sector manufacturo en proporción al PIB,44.3
2021,Nominal,,,Zizurkil,Porcentaje,Zizurkil,Valor añadido del sector manufacturo en proporción al PIB,45.9
2017,Nominal,,,Zizurkil,Porcentaje,Zizurkil,Valor añadido del sector manufacturo en proporción al PIB,43.1
2016,Nominal,,,Zizurkil,Euro per cápita,Zizurkil,Valor añadido del sector manufacturo,12236.2
2020,Nominal,,,Zizurkil,Euro per cápita,Zizurkil,Valor añadido del sector manufacturo,13369.6
2019,Nominal,,,Zizurkil,Euro per cápita,Zizurkil,Valor añadido del sector manufacturo,14130.3
2021,Nominal,,,Zizurkil,Euro per cápita,Zizurkil,Valor añadido del sector manufacturo,15481.4
2019,Nominal,,,Zizurkil,Porcentaje,Zizurkil,Valor añadido del sector manufacturo en proporción al PIB,43.7
2018,Nominal,,,Zizurkil,Euro per cápita,Zizurkil,Valor añadido del sector manufacturo,13107.0
2016,Nominal,,,Zizurkil,Porcentaje,Zizurkil,Valor añadido del sector manufacturo en proporción al PIB,43.4
2014,Nominal,,,Zizurkil,Euro per cápita,Zizurkil,Valor añadido del sector manufacturo,12138.3
2017,Nominal,,,Zizurkil,Euro per cápita,Zizurkil,Valor añadido del sector manufacturo,12654.8
2014,Nominal,,,Zizurkil,Porcentaje,Zizurkil,Valor añadido del sector manufacturo en proporción al PIB,43.9
2018,Nominal,,,Zizurkil,Porcentaje,Zizurkil,Valor añadido del sector manufacturo en proporción al PIB,43.0
2017,Nominal,,,Zuia,Porcentaje,Zuia,Valor añadido del sector manufacturo en proporción al PIB,11.0
2019,Nominal,,,Zuia,Porcentaje,Zuia,Valor añadido del sector manufacturo en proporción al PIB,4.8
2014,Nominal,,,Zuia,Euro per cápita,Zuia,Valor añadido del sector manufacturo,1364.2
2020,Nominal,,,Zuia,Euro per cápita,Zuia,Valor añadido del sector manufacturo,957.3
2016,Nominal,,,Zuia,Euro per cápita,Zuia,Valor añadido del sector manufacturo,1914.6
2021,Nominal,,,Zuia,Euro per cápita,Zuia,Valor añadido del sector manufacturo,1121.7
2019,Nominal,,,Zuia,Euro per cápita,Zuia,Valor añadido del sector manufacturo,1029.0
2018,Nominal,,,Zuia,Euro per cápita,Zuia,Valor añadido del sector manufacturo,1080.9
2017,Nominal,,,Zuia,Euro per cápita,Zuia,Valor añadido del sector manufacturo,2435.1
2015,Nominal,,,Zuia,Euro per cápita,Zuia,Valor añadido del sector manufacturo,2378.8
2018,Nominal,,,Zuia,Porcentaje,Zuia,Valor añadido del sector manufacturo en proporción al PIB,5.3
2020,Nominal,,,Zuia,Porcentaje,Zuia,Valor añadido del sector manufacturo en proporción al PIB,5.2
2014,Nominal,,,Zuia,Porcentaje,Zuia,Valor añadido del sector manufacturo en proporción al PIB,7.0
2015,Nominal,,,Zuia,Porcentaje,Zuia,Valor añadido del sector manufacturo en proporción al PIB,11.1
2016,Nominal,,,Zuia,Porcentaje,Zuia,Valor añadido del sector manufacturo en proporción al PIB,9.2
2021,Nominal,,,Zuia,Porcentaje,Zuia,Valor añadido del sector manufacturo en proporción al PIB,5.3
2016,Nominal,,,Zumaia,Porcentaje,Zumaia,Valor añadido del sector manufacturo en proporción al PIB,43.3
2019,Nominal,,,Zumaia,Porcentaje,Zumaia,Valor añadido del sector manufacturo en proporción al PIB,36.6
2020,Nominal,,,Zumaia,Porcentaje,Zumaia,Valor añadido del sector manufacturo en proporción al PIB,37.2
2014,Nominal,,,Zumaia,Porcentaje,Zumaia,Valor añadido del sector manufacturo en proporción al PIB,43.1
2017,Nominal,,,Zumaia,Porcentaje,Zumaia,Valor añadido del sector manufacturo en proporción al PIB,41.0
2018,Nominal,,,Zumaia,Porcentaje,Zumaia,Valor añadido del sector manufacturo en proporción al PIB,38.6
2021,Nominal,,,Zumaia,Porcentaje,Zumaia,Valor añadido del sector manufacturo en proporción al PIB,32.6
2021,Nominal,,,Zumaia,Euro per cápita,Zumaia,Valor añadido del sector manufacturo,9947.9
2015,Nominal,,,Zumaia,Euro per cápita,Zumaia,Valor añadido del sector manufacturo,14849.7
2019,Nominal,,,Zumaia,Euro per cápita,Zumaia,Valor añadido del sector manufacturo,12920.1
2017,Nominal,,,Zumaia,Euro per cápita,Zumaia,Valor añadido del sector manufacturo,12681.3
2014,Nominal,,,Zumaia,Euro per cápita,Zumaia,Valor añadido del sector manufacturo,13687.3
2016,Nominal,,,Zumaia,Euro per cápita,Zumaia,Valor añadido del sector manufacturo,13934.2
2018,Nominal,,,Zumaia,Euro per cápita,Zumaia,Valor añadido del sector manufacturo,12928.9
2020,Nominal,,,Zumaia,Euro per cápita,Zumaia,Valor añadido del sector manufacturo,11299.6
2015,Nominal,,,Zumaia,Porcentaje,Zumaia,Valor añadido del sector manufacturo en proporción al PIB,46.3
2015,Nominal,,,Zumarraga,Porcentaje,Zumarraga,Valor añadido del sector manufacturo en proporción al PIB,12.9
2019,Nominal,,,Zumarraga,Porcentaje,Zumarraga,Valor añadido del sector manufacturo en proporción al PIB,12.5
2016,Nominal,,,Zumarraga,Porcentaje,Zumarraga,Valor añadido del sector manufacturo en proporción al PIB,10.5
2020,Nominal,,,Zumarraga,Porcentaje,Zumarraga,Valor añadido del sector manufacturo en proporción al PIB,10.8
2014,Nominal,,,Zumarraga,Porcentaje,Zumarraga,Valor añadido del sector manufacturo en proporción al PIB,18.3
2017,Nominal,,,Zumarraga,Porcentaje,Zumarraga,Valor añadido del sector manufacturo en proporción al PIB,14.0
2018,Nominal,,,Zumarraga,Porcentaje,Zumarraga,Valor añadido del sector manufacturo en proporción al PIB,13.4
2021,Nominal,,,Zumarraga,Porcentaje,Zumarraga,Valor añadido del sector manufacturo en proporción al PIB,12.3
2015,Nominal,,,Zumarraga,Euro per cápita,Zumarraga,Valor añadido del sector manufacturo,3074.4
2021,Nominal,,,Zumarraga,Euro per cápita,Zumarraga,Valor añadido del sector manufacturo,2947.7
2019,Nominal,,,Zumarraga,Euro per cápita,Zumarraga,Valor añadido del sector manufacturo,2856.4
2017,Nominal,,,Zumarraga,Euro per cápita,Zumarraga,Valor añadido del sector manufacturo,2782.3
2016,Nominal,,,Zumarraga,Euro per cápita,Zumarraga,Valor añadido del sector manufacturo,2128.0
2018,Nominal,,,Zumarraga,Euro per cápita,Zumarraga,Valor añadido del sector manufacturo,2929.7
2020,Nominal,,,Zumarraga,Euro per cápita,Zumarraga,Valor añadido del sector manufacturo,2226.3
2014,Nominal,,,Zumarraga,Euro per cápita,Zumarraga,Valor añadido del sector manufacturo,4505.5
2015,Nominal,,Añana (comarca),,Euro per cápita,Añana (comarca),Valor añadido del sector manufacturo,26132.8
2021,Nominal,,Añana (comarca),,Porcentaje,Añana (comarca),Valor añadido del sector manufacturo en proporción al PIB,49.1
2019,Nominal,,Añana (comarca),,Porcentaje,Añana (comarca),Valor añadido del sector manufacturo en proporción al PIB,50.3
2018,Nominal,,Añana (comarca),,Euro per cápita,Añana (comarca),Valor añadido del sector manufacturo,26414.0
2017,Nominal,,Añana (comarca),,Euro per cápita,Añana (comarca),Valor añadido del sector manufacturo,26180.2
2020,Nominal,,Añana (comarca),,Euro per cápita,Añana (comarca),Valor añadido del sector manufacturo,24877.7
2014,Nominal,,Añana (comarca),,Euro per cápita,Añana (comarca),Valor añadido del sector manufacturo,23789.8
2017,Nominal,,Añana (comarca),,Porcentaje,Añana (comarca),Valor añadido del sector manufacturo en proporción al PIB,49.8
2015,Nominal,,Añana (comarca),,Porcentaje,Añana (comarca),Valor añadido del sector manufacturo en proporción al PIB,47.8
2016,Nominal,,Añana (comarca),,Porcentaje,Añana (comarca),Valor añadido del sector manufacturo en proporción al PIB,47.9
2019,Nominal,,Añana (comarca),,Euro per cápita,Añana (comarca),Valor añadido del sector manufacturo,27652.6
2018,Nominal,,Añana (comarca),,Porcentaje,Añana (comarca),Valor añadido del sector manufacturo en proporción al PIB,51.2
2020,Nominal,,Añana (comarca),,Porcentaje,Añana (comarca),Valor añadido del sector manufacturo en proporción al PIB,51.6
2014,Nominal,,Añana (comarca),,Porcentaje,Añana (comarca),Valor añadido del sector manufacturo en proporción al PIB,47.4
2021,Nominal,,Añana (comarca),,Euro per cápita,Añana (comarca),Valor añadido del sector manufacturo,25361.5
2016,Nominal,,Añana (comarca),,Euro per cápita,Añana (comarca),Valor añadido del sector manufacturo,26966.1
2021,Nominal,,Arabako Errioxa / Rioja Alavesa,,Euro per cápita,Arabako Errioxa / Rioja Alavesa,Valor añadido del sector manufacturo,27295.1
2020,Nominal,,Arabako Errioxa / Rioja Alavesa,,Porcentaje,Arabako Errioxa / Rioja Alavesa,Valor añadido del sector manufacturo en proporción al PIB,49.8
2015,Nominal,,Arabako Errioxa / Rioja Alavesa,,Porcentaje,Arabako Errioxa / Rioja Alavesa,Valor añadido del sector manufacturo en proporción al PIB,49.4
2017,Nominal,,Arabako Errioxa / Rioja Alavesa,,Porcentaje,Arabako Errioxa / Rioja Alavesa,Valor añadido del sector manufacturo en proporción al PIB,48.2
2014,Nominal,,Arabako Errioxa / Rioja Alavesa,,Euro per cápita,Arabako Errioxa / Rioja Alavesa,Valor añadido del sector manufacturo,28267.6
2021,Nominal,,Arabako Errioxa / Rioja Alavesa,,Porcentaje,Arabako Errioxa / Rioja Alavesa,Valor añadido del sector manufacturo en proporción al PIB,47.1
2014,Nominal,,Arabako Errioxa / Rioja Alavesa,,Porcentaje,Arabako Errioxa / Rioja Alavesa,Valor añadido del sector manufacturo en proporción al PIB,52.1
2018,Nominal,,Arabako Errioxa / Rioja Alavesa,,Porcentaje,Arabako Errioxa / Rioja Alavesa,Valor añadido del sector manufacturo en proporción al PIB,47.7
2018,Nominal,,Arabako Errioxa / Rioja Alavesa,,Euro per cápita,Arabako Errioxa / Rioja Alavesa,Valor añadido del sector manufacturo,31233.3
2016,Nominal,,Arabako Errioxa / Rioja Alavesa,,Euro per cápita,Arabako Errioxa / Rioja Alavesa,Valor añadido del sector manufacturo,28965.1
2015,Nominal,,Arabako Errioxa / Rioja Alavesa,,Euro per cápita,Arabako Errioxa / Rioja Alavesa,Valor añadido del sector manufacturo,27557.1
2019,Nominal,,Arabako Errioxa / Rioja Alavesa,,Euro per cápita,Arabako Errioxa / Rioja Alavesa,Valor añadido del sector manufacturo,30905.6
2016,Nominal,,Arabako Errioxa / Rioja Alavesa,,Porcentaje,Arabako Errioxa / Rioja Alavesa,Valor añadido del sector manufacturo en proporción al PIB,47.0
2019,Nominal,,Arabako Errioxa / Rioja Alavesa,,Porcentaje,Arabako Errioxa / Rioja Alavesa,Valor añadido del sector manufacturo en proporción al PIB,48.1
2017,Nominal,,Arabako Errioxa / Rioja Alavesa,,Euro per cápita,Arabako Errioxa / Rioja Alavesa,Valor añadido del sector manufacturo,31378.8
2020,Nominal,,Arabako Errioxa / Rioja Alavesa,,Euro per cápita,Arabako Errioxa / Rioja Alavesa,Valor añadido del sector manufacturo,27073.9
2014,Nominal,,Arabako Kantaurialdea / Cantábrica Alavesa,,Euro per cápita,Arabako Kantaurialdea / Cantábrica Alavesa,Valor añadido del sector manufacturo,12956.2
2020,Nominal,,Arabako Kantaurialdea / Cantábrica Alavesa,,Euro per cápita,Arabako Kantaurialdea / Cantábrica Alavesa,Valor añadido del sector manufacturo,9697.2
2021,Nominal,,Arabako Kantaurialdea / Cantábrica Alavesa,,Euro per cápita,Arabako Kantaurialdea / Cantábrica Alavesa,Valor añadido del sector manufacturo,9223.8
2021,Nominal,,Arabako Kantaurialdea / Cantábrica Alavesa,,Porcentaje,Arabako Kantaurialdea / Cantábrica Alavesa,Valor añadido del sector manufacturo en proporción al PIB,30.0
2015,Nominal,,Arabako Kantaurialdea / Cantábrica Alavesa,,Porcentaje,Arabako Kantaurialdea / Cantábrica Alavesa,Valor añadido del sector manufacturo en proporción al PIB,34.7
2015,Nominal,,Arabako Kantaurialdea / Cantábrica Alavesa,,Euro per cápita,Arabako Kantaurialdea / Cantábrica Alavesa,Valor añadido del sector manufacturo,11842.3
2016,Nominal,,Arabako Kantaurialdea / Cantábrica Alavesa,,Porcentaje,Arabako Kantaurialdea / Cantábrica Alavesa,Valor añadido del sector manufacturo en proporción al PIB,36.3
2016,Nominal,,Arabako Kantaurialdea / Cantábrica Alavesa,,Euro per cápita,Arabako Kantaurialdea / Cantábrica Alavesa,Valor añadido del sector manufacturo,12120.0
2018,Nominal,,Arabako Kantaurialdea / Cantábrica Alavesa,,Euro per cápita,Arabako Kantaurialdea / Cantábrica Alavesa,Valor añadido del sector manufacturo,13443.9
2019,Nominal,,Arabako Kantaurialdea / Cantábrica Alavesa,,Euro per cápita,Arabako Kantaurialdea / Cantábrica Alavesa,Valor añadido del sector manufacturo,11998.9
2018,Nominal,,Arabako Kantaurialdea / Cantábrica Alavesa,,Porcentaje,Arabako Kantaurialdea / Cantábrica Alavesa,Valor añadido del sector manufacturo en proporción al PIB,38.4
2020,Nominal,,Arabako Kantaurialdea / Cantábrica Alavesa,,Porcentaje,Arabako Kantaurialdea / Cantábrica Alavesa,Valor añadido del sector manufacturo en proporción al PIB,31.6
2017,Nominal,,Arabako Kantaurialdea / Cantábrica Alavesa,,Porcentaje,Arabako Kantaurialdea / Cantábrica Alavesa,Valor añadido del sector manufacturo en proporción al PIB,36.9
2014,Nominal,,Arabako Kantaurialdea / Cantábrica Alavesa,,Porcentaje,Arabako Kantaurialdea / Cantábrica Alavesa,Valor añadido del sector manufacturo en proporción al PIB,38.4
2019,Nominal,,Arabako Kantaurialdea / Cantábrica Alavesa,,Porcentaje,Arabako Kantaurialdea / Cantábrica Alavesa,Valor añadido del sector manufacturo en proporción al PIB,33.8
2017,Nominal,,Arabako Kantaurialdea / Cantábrica Alavesa,,Euro per cápita,Arabako Kantaurialdea / Cantábrica Alavesa,Valor añadido del sector manufacturo,12497.2
2021,Nominal,,Arabako Lautada / Llanada Alavesa,,Euro per cápita,Arabako Lautada / Llanada Alavesa,Valor añadido del sector manufacturo,7574.6
2019,Nominal,,Arabako Lautada / Llanada Alavesa,,Porcentaje,Arabako Lautada / Llanada Alavesa,Valor añadido del sector manufacturo en proporción al PIB,20.7
2020,Nominal,,Arabako Lautada / Llanada Alavesa,,Porcentaje,Arabako Lautada / Llanada Alavesa,Valor añadido del sector manufacturo en proporción al PIB,19.8
2018,Nominal,,Arabako Lautada / Llanada Alavesa,,Porcentaje,Arabako Lautada / Llanada Alavesa,Valor añadido del sector manufacturo en proporción al PIB,21.2
2014,Nominal,,Arabako Lautada / Llanada Alavesa,,Euro per cápita,Arabako Lautada / Llanada Alavesa,Valor añadido del sector manufacturo,6651.8
2021,Nominal,,Arabako Lautada / Llanada Alavesa,,Porcentaje,Arabako Lautada / Llanada Alavesa,Valor añadido del sector manufacturo en proporción al PIB,20.9
2014,Nominal,,Arabako Lautada / Llanada Alavesa,,Porcentaje,Arabako Lautada / Llanada Alavesa,Valor añadido del sector manufacturo en proporción al PIB,20.7
2018,Nominal,,Arabako Lautada / Llanada Alavesa,,Euro per cápita,Arabako Lautada / Llanada Alavesa,Valor añadido del sector manufacturo,7648.9
2015,Nominal,,Arabako Lautada / Llanada Alavesa,,Euro per cápita,Arabako Lautada / Llanada Alavesa,Valor añadido del sector manufacturo,7225.4
2020,Nominal,,Arabako Lautada / Llanada Alavesa,,Euro per cápita,Arabako Lautada / Llanada Alavesa,Valor añadido del sector manufacturo,6631.8
2017,Nominal,,Arabako Lautada / Llanada Alavesa,,Euro per cápita,Arabako Lautada / Llanada Alavesa,Valor añadido del sector manufacturo,7623.7
2019,Nominal,,Arabako Lautada / Llanada Alavesa,,Euro per cápita,Arabako Lautada / Llanada Alavesa,Valor añadido del sector manufacturo,7679.3
2017,Nominal,,Arabako Lautada / Llanada Alavesa,,Porcentaje,Arabako Lautada / Llanada Alavesa,Valor añadido del sector manufacturo en proporción al PIB,21.8
