Year,Series,Sexua,Adina,Lurralde historikoa,Units,Value
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,Porcentaje,4.2
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,Porcentaje,7.9
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,Porcentaje,4.6
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,Porcentaje,12.8
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,Porcentaje,9.0
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,Porcentaje,15.0
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,Porcentaje,7.4
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,Porcentaje,8.7
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,Porcentaje,10.3
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,Porcentaje,10.7
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,Porcentaje,7.4
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,Porcentaje,3.7
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,Porcentaje,8.9
2011,Azken 12 hilabeteetan hezkuntza-jardueretan izandako parte-hartze tasa,,18-64 urte,,Porcentaje,46.2
2016,Azken 12 hilabeteetan hezkuntza-jardueretan izandako parte-hartze tasa,,18-64 urte,,Porcentaje,48.1
2022,Azken 12 hilabeteetan hezkuntza-jardueretan izandako parte-hartze tasa,,18-64 urte,,Porcentaje,52.9
2011,Azken 12 hilabeteetan hezkuntza-jardueretan izandako parte-hartze tasa,Emakumea,18-64 urte,,Porcentaje,49.9
2022,Azken 12 hilabeteetan hezkuntza-jardueretan izandako parte-hartze tasa,Emakumea,18-64 urte,,Porcentaje,54.8
2016,Azken 12 hilabeteetan hezkuntza-jardueretan izandako parte-hartze tasa,Emakumea,18-64 urte,,Porcentaje,48.0
2022,Azken 12 hilabeteetan hezkuntza-jardueretan izandako parte-hartze tasa,Gizona,18-64 urte,,Porcentaje,51.0
2016,Azken 12 hilabeteetan hezkuntza-jardueretan izandako parte-hartze tasa,Gizona,18-64 urte,,Porcentaje,48.1
2011,Azken 12 hilabeteetan hezkuntza-jardueretan izandako parte-hartze tasa,Gizona,18-64 urte,,Porcentaje,42.5
