Year,Computer skills,Sex,Age,Province,Units,Value
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-74 years,,%,51.9
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-74 years,,%,61.97
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-74 years,Araba/Álava,%,54.78
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-74 years,Araba/Álava,%,57.59
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-74 years,Araba/Álava,%,52.16
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-74 years,Araba/Álava,%,62.89
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-74 years,Araba/Álava,%,46.11
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-74 years,Bizkaia,%,62.2
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-74 years,Bizkaia,%,55.31
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-74 years,Bizkaia,%,54.22
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-74 years,Bizkaia,%,56.96
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-74 years,Bizkaia,%,53.39
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-74 years,Gipuzkoa,%,61.18
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-74 years,Gipuzkoa,%,52.06
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-74 years,Gipuzkoa,%,50.86
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-74 years,Gipuzkoa,%,59.22
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-74 years,Gipuzkoa,%,52.26
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,25-74 years,,%,54.27
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,25-74 years,,%,58.31
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,25-74 years,,%,50.17
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,25-74 years,,%,50.64
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,25-74 years,,%,49.19
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,25-74 years,Araba/Álava,%,40.86
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,25-74 years,Araba/Álava,%,51.93
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,25-74 years,Araba/Álava,%,53.03
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,25-74 years,Araba/Álava,%,60.27
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,25-74 years,Araba/Álava,%,48.99
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,25-74 years,Bizkaia,%,53.8
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,25-74 years,Bizkaia,%,58.94
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,25-74 years,Bizkaia,%,51.86
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,25-74 years,Bizkaia,%,51.34
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,25-74 years,Bizkaia,%,51.79
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,25-74 years,Gipuzkoa,%,56.37
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,25-74 years,Gipuzkoa,%,48.09
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,25-74 years,Gipuzkoa,%,48.14
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,25-74 years,Gipuzkoa,%,49.59
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,25-74 years,Gipuzkoa,%,55.62
2023,Installing software or applications (apps),,16-24 years,,%,76.57
2022,Installing software or applications (apps),,16-24 years,,%,81.06
2020,Installing software or applications (apps),,16-24 years,,%,87.51
2021,Installing software or applications (apps),,16-24 years,,%,88.68
2019,Installing software or applications (apps),,16-24 years,,%,83.37
2021,Installing software or applications (apps),,16-24 years,Araba/Álava,%,89.74
2023,Installing software or applications (apps),,16-24 years,Araba/Álava,%,72.3
2020,Installing software or applications (apps),,16-24 years,Araba/Álava,%,92.37
2019,Installing software or applications (apps),,16-24 years,Araba/Álava,%,82.82
2022,Installing software or applications (apps),,16-24 years,Araba/Álava,%,79.48
2019,Installing software or applications (apps),,16-24 years,Bizkaia,%,84.86
2020,Installing software or applications (apps),,16-24 years,Bizkaia,%,87.06
2021,Installing software or applications (apps),,16-24 years,Bizkaia,%,87.12
2022,Installing software or applications (apps),,16-24 years,Bizkaia,%,82.17
2023,Installing software or applications (apps),,16-24 years,Bizkaia,%,76.02
2023,Installing software or applications (apps),,16-24 years,Gipuzkoa,%,79.31
2020,Installing software or applications (apps),,16-24 years,Gipuzkoa,%,85.98
2022,Installing software or applications (apps),,16-24 years,Gipuzkoa,%,80.0
2021,Installing software or applications (apps),,16-24 years,Gipuzkoa,%,90.48
2019,Installing software or applications (apps),,16-24 years,Gipuzkoa,%,81.54
2022,Installing software or applications (apps),,16-74 years,,%,54.02
2023,Installing software or applications (apps),,16-74 years,,%,51.59
2021,Installing software or applications (apps),,16-74 years,,%,64.64
2019,Installing software or applications (apps),,16-74 years,,%,53.92
2020,Installing software or applications (apps),,16-74 years,,%,58.78
2021,Installing software or applications (apps),,16-74 years,Araba/Álava,%,65.84
2022,Installing software or applications (apps),,16-74 years,Araba/Álava,%,53.04
2023,Installing software or applications (apps),,16-74 years,Araba/Álava,%,52.49
2019,Installing software or applications (apps),,16-74 years,Araba/Álava,%,54.49
2020,Installing software or applications (apps),,16-74 years,Araba/Álava,%,57.26
2020,Installing software or applications (apps),,16-74 years,Bizkaia,%,58.33
2021,Installing software or applications (apps),,16-74 years,Bizkaia,%,64.32
2022,Installing software or applications (apps),,16-74 years,Bizkaia,%,54.54
2023,Installing software or applications (apps),,16-74 years,Bizkaia,%,51.9
2019,Installing software or applications (apps),,16-74 years,Bizkaia,%,55.18
2023,Installing software or applications (apps),,16-74 years,Gipuzkoa,%,50.67
2022,Installing software or applications (apps),,16-74 years,Gipuzkoa,%,53.61
2020,Installing software or applications (apps),,16-74 years,Gipuzkoa,%,60.23
2021,Installing software or applications (apps),,16-74 years,Gipuzkoa,%,64.61
2019,Installing software or applications (apps),,16-74 years,Gipuzkoa,%,51.65
2019,Installing software or applications (apps),,25-74 years,,%,50.6
2022,Installing software or applications (apps),,25-74 years,,%,50.45
2023,Installing software or applications (apps),,25-74 years,,%,48.28
2021,Installing software or applications (apps),,25-74 years,,%,61.41
2020,Installing software or applications (apps),,25-74 years,,%,55.22
2022,Installing software or applications (apps),,25-74 years,Araba/Álava,%,49.88
2019,Installing software or applications (apps),,25-74 years,Araba/Álava,%,51.29
2020,Installing software or applications (apps),,25-74 years,Araba/Álava,%,52.86
2023,Installing software or applications (apps),,25-74 years,Araba/Álava,%,49.75
2021,Installing software or applications (apps),,25-74 years,Araba/Álava,%,62.57
2023,Installing software or applications (apps),,25-74 years,Bizkaia,%,48.86
2022,Installing software or applications (apps),,25-74 years,Bizkaia,%,50.94
2021,Installing software or applications (apps),,25-74 years,Bizkaia,%,61.42
2020,Installing software or applications (apps),,25-74 years,Bizkaia,%,54.9
2019,Installing software or applications (apps),,25-74 years,Bizkaia,%,52.06
2021,Installing software or applications (apps),,25-74 years,Gipuzkoa,%,60.86
2019,Installing software or applications (apps),,25-74 years,Gipuzkoa,%,47.92
2020,Installing software or applications (apps),,25-74 years,Gipuzkoa,%,56.86
2022,Installing software or applications (apps),,25-74 years,Gipuzkoa,%,49.91
2023,Installing software or applications (apps),,25-74 years,Gipuzkoa,%,46.67
2020,Installing software or applications (apps),Female,16-24 years,,%,86.8
2023,Installing software or applications (apps),Female,16-24 years,,%,79.65
2022,Installing software or applications (apps),Female,16-24 years,,%,78.54
2021,Installing software or applications (apps),Female,16-24 years,,%,86.29
2019,Installing software or applications (apps),Female,16-24 years,,%,85.71
2023,Installing software or applications (apps),Female,16-24 years,Araba/Álava,%,78.39
2020,Installing software or applications (apps),Female,16-24 years,Araba/Álava,%,91.87
2021,Installing software or applications (apps),Female,16-24 years,Araba/Álava,%,84.23
2019,Installing software or applications (apps),Female,16-24 years,Araba/Álava,%,83.47
2022,Installing software or applications (apps),Female,16-24 years,Araba/Álava,%,82.37
2019,Installing software or applications (apps),Female,16-24 years,Bizkaia,%,86.82
2020,Installing software or applications (apps),Female,16-24 years,Bizkaia,%,88.51
2022,Installing software or applications (apps),Female,16-24 years,Bizkaia,%,80.29
2023,Installing software or applications (apps),Female,16-24 years,Bizkaia,%,79.72
2021,Installing software or applications (apps),Female,16-24 years,Bizkaia,%,86.71
2020,Installing software or applications (apps),Female,16-24 years,Gipuzkoa,%,82.04
2023,Installing software or applications (apps),Female,16-24 years,Gipuzkoa,%,80.06
2021,Installing software or applications (apps),Female,16-24 years,Gipuzkoa,%,86.55
2019,Installing software or applications (apps),Female,16-24 years,Gipuzkoa,%,85.17
2022,Installing software or applications (apps),Female,16-24 years,Gipuzkoa,%,74.19
2020,Installing software or applications (apps),Female,16-74 years,,%,56.7
2022,Installing software or applications (apps),Female,16-74 years,,%,51.89
2023,Installing software or applications (apps),Female,16-74 years,,%,49.01
2021,Installing software or applications (apps),Female,16-74 years,,%,61.24
2019,Installing software or applications (apps),Female,16-74 years,,%,50.6
2021,Installing software or applications (apps),Female,16-74 years,Araba/Álava,%,61.97
2022,Installing software or applications (apps),Female,16-74 years,Araba/Álava,%,50.18
2020,Installing software or applications (apps),Female,16-74 years,Araba/Álava,%,55.84
2023,Installing software or applications (apps),Female,16-74 years,Araba/Álava,%,52.49
2019,Installing software or applications (apps),Female,16-74 years,Araba/Álava,%,49.85
2019,Installing software or applications (apps),Female,16-74 years,Bizkaia,%,51.54
2022,Installing software or applications (apps),Female,16-74 years,Bizkaia,%,52.2
2020,Installing software or applications (apps),Female,16-74 years,Bizkaia,%,56.85
2021,Installing software or applications (apps),Female,16-74 years,Bizkaia,%,60.56
2023,Installing software or applications (apps),Female,16-74 years,Bizkaia,%,49.35
2020,Installing software or applications (apps),Female,16-74 years,Gipuzkoa,%,56.86
2023,Installing software or applications (apps),Female,16-74 years,Gipuzkoa,%,46.88
2021,Installing software or applications (apps),Female,16-74 years,Gipuzkoa,%,62.05
2022,Installing software or applications (apps),Female,16-74 years,Gipuzkoa,%,52.17
2019,Installing software or applications (apps),Female,16-74 years,Gipuzkoa,%,49.41
2019,Installing software or applications (apps),Female,25-74 years,,%,46.69
2020,Installing software or applications (apps),Female,25-74 years,,%,53.16
2022,Installing software or applications (apps),Female,25-74 years,,%,48.51
2023,Installing software or applications (apps),Female,25-74 years,,%,45.18
2021,Installing software or applications (apps),Female,25-74 years,,%,58.11
2019,Installing software or applications (apps),Female,25-74 years,Araba/Álava,%,45.81
2022,Installing software or applications (apps),Female,25-74 years,Araba/Álava,%,46.44
2021,Installing software or applications (apps),Female,25-74 years,Araba/Álava,%,59.26
2020,Installing software or applications (apps),Female,25-74 years,Araba/Álava,%,51.71
2023,Installing software or applications (apps),Female,25-74 years,Araba/Álava,%,49.41
2019,Installing software or applications (apps),Female,25-74 years,Bizkaia,%,47.91
2021,Installing software or applications (apps),Female,25-74 years,Bizkaia,%,57.31
2023,Installing software or applications (apps),Female,25-74 years,Bizkaia,%,45.68
2022,Installing software or applications (apps),Female,25-74 years,Bizkaia,%,48.69
2020,Installing software or applications (apps),Female,25-74 years,Bizkaia,%,53.23
2020,Installing software or applications (apps),Female,25-74 years,Gipuzkoa,%,53.72
2023,Installing software or applications (apps),Female,25-74 years,Gipuzkoa,%,42.39
2022,Installing software or applications (apps),Female,25-74 years,Gipuzkoa,%,49.21
2019,Installing software or applications (apps),Female,25-74 years,Gipuzkoa,%,45.07
2021,Installing software or applications (apps),Female,25-74 years,Gipuzkoa,%,58.89
2023,Installing software or applications (apps),Male,16-24 years,,%,73.67
2019,Installing software or applications (apps),Male,16-24 years,,%,81.0
2022,Installing software or applications (apps),Male,16-24 years,,%,83.51
2021,Installing software or applications (apps),Male,16-24 years,,%,90.82
2020,Installing software or applications (apps),Male,16-24 years,,%,88.17
2022,Installing software or applications (apps),Male,16-24 years,Araba/Álava,%,76.66
2020,Installing software or applications (apps),Male,16-24 years,Araba/Álava,%,92.8
2019,Installing software or applications (apps),Male,16-24 years,Araba/Álava,%,82.04
2023,Installing software or applications (apps),Male,16-24 years,Araba/Álava,%,67.59
2021,Installing software or applications (apps),Male,16-24 years,Araba/Álava,%,94.25
2019,Installing software or applications (apps),Male,16-24 years,Bizkaia,%,82.9
2020,Installing software or applications (apps),Male,16-24 years,Bizkaia,%,85.69
2022,Installing software or applications (apps),Male,16-24 years,Bizkaia,%,84.03
2021,Installing software or applications (apps),Male,16-24 years,Bizkaia,%,87.52
2023,Installing software or applications (apps),Male,16-24 years,Bizkaia,%,72.42
2019,Installing software or applications (apps),Male,16-24 years,Gipuzkoa,%,78.05
2020,Installing software or applications (apps),Male,16-24 years,Gipuzkoa,%,89.68
2021,Installing software or applications (apps),Male,16-24 years,Gipuzkoa,%,93.67
2023,Installing software or applications (apps),Male,16-24 years,Gipuzkoa,%,78.58
2022,Installing software or applications (apps),Male,16-24 years,Gipuzkoa,%,85.47
2023,Installing software or applications (apps),Male,16-74 years,,%,54.26
2022,Installing software or applications (apps),Male,16-74 years,,%,56.24
2020,Installing software or applications (apps),Male,16-74 years,,%,60.91
2019,Installing software or applications (apps),Male,16-74 years,,%,57.35
2021,Installing software or applications (apps),Male,16-74 years,,%,68.05
2022,Installing software or applications (apps),Male,16-74 years,Araba/Álava,%,55.98
2019,Installing software or applications (apps),Male,16-74 years,Araba/Álava,%,59.34
2021,Installing software or applications (apps),Male,16-74 years,Araba/Álava,%,69.67
2023,Installing software or applications (apps),Male,16-74 years,Araba/Álava,%,52.49
2020,Installing software or applications (apps),Male,16-74 years,Araba/Álava,%,58.72
2022,Installing software or applications (apps),Male,16-74 years,Bizkaia,%,57.05
2019,Installing software or applications (apps),Male,16-74 years,Bizkaia,%,58.97
2020,Installing software or applications (apps),Male,16-74 years,Bizkaia,%,59.84
2021,Installing software or applications (apps),Male,16-74 years,Bizkaia,%,68.17
2023,Installing software or applications (apps),Male,16-74 years,Bizkaia,%,54.6
2022,Installing software or applications (apps),Male,16-74 years,Gipuzkoa,%,55.07
2019,Installing software or applications (apps),Male,16-74 years,Gipuzkoa,%,53.9
2020,Installing software or applications (apps),Male,16-74 years,Gipuzkoa,%,63.68
2023,Installing software or applications (apps),Male,16-74 years,Gipuzkoa,%,54.55
2021,Installing software or applications (apps),Male,16-74 years,Gipuzkoa,%,67.13
2021,Installing software or applications (apps),Male,25-74 years,,%,64.79
2022,Installing software or applications (apps),Male,25-74 years,,%,52.49
2020,Installing software or applications (apps),Male,25-74 years,,%,57.35
2019,Installing software or applications (apps),Male,25-74 years,,%,54.65
2023,Installing software or applications (apps),Male,25-74 years,,%,51.54
2022,Installing software or applications (apps),Male,25-74 years,Araba/Álava,%,53.44
2021,Installing software or applications (apps),Male,25-74 years,Araba/Álava,%,65.94
2019,Installing software or applications (apps),Male,25-74 years,Araba/Álava,%,56.94
2023,Installing software or applications (apps),Male,25-74 years,Araba/Álava,%,50.1
2020,Installing software or applications (apps),Male,25-74 years,Araba/Álava,%,54.06
2022,Installing software or applications (apps),Male,25-74 years,Bizkaia,%,53.37
2020,Installing software or applications (apps),Male,25-74 years,Bizkaia,%,56.62
2021,Installing software or applications (apps),Male,25-74 years,Bizkaia,%,65.64
2019,Installing software or applications (apps),Male,25-74 years,Bizkaia,%,56.39
2023,Installing software or applications (apps),Male,25-74 years,Bizkaia,%,52.24
2022,Installing software or applications (apps),Male,25-74 years,Gipuzkoa,%,50.62
2019,Installing software or applications (apps),Male,25-74 years,Gipuzkoa,%,50.81
2023,Installing software or applications (apps),Male,25-74 years,Gipuzkoa,%,51.09
2021,Installing software or applications (apps),Male,25-74 years,Gipuzkoa,%,62.86
2020,Installing software or applications (apps),Male,25-74 years,Gipuzkoa,%,60.11
2023,"Changing the settings of any software, including the operating system and security programs",,16-24 years,,%,45.54
2020,"Changing the settings of any software, including the operating system and security programs",,16-24 years,,%,47.09
2021,"Changing the settings of any software, including the operating system and security programs",,16-24 years,,%,46.21
2022,"Changing the settings of any software, including the operating system and security programs",,16-24 years,,%,36.68
2019,"Changing the settings of any software, including the operating system and security programs",,16-24 years,,%,26.84
2021,"Changing the settings of any software, including the operating system and security programs",,16-24 years,Araba/Álava,%,40.31
2022,"Changing the settings of any software, including the operating system and security programs",,16-24 years,Araba/Álava,%,40.3
2020,"Changing the settings of any software, including the operating system and security programs",,16-24 years,Araba/Álava,%,50.88
2023,"Changing the settings of any software, including the operating system and security programs",,16-24 years,Araba/Álava,%,39.35
2019,"Changing the settings of any software, including the operating system and security programs",,16-24 years,Araba/Álava,%,24.81
2023,"Changing the settings of any software, including the operating system and security programs",,16-24 years,Bizkaia,%,45.54
2020,"Changing the settings of any software, including the operating system and security programs",,16-24 years,Bizkaia,%,46.35
2019,"Changing the settings of any software, including the operating system and security programs",,16-24 years,Bizkaia,%,28.04
2021,"Changing the settings of any software, including the operating system and security programs",,16-24 years,Bizkaia,%,47.25
2022,"Changing the settings of any software, including the operating system and security programs",,16-24 years,Bizkaia,%,36.42
2021,"Changing the settings of any software, including the operating system and security programs",,16-24 years,Gipuzkoa,%,47.31
2022,"Changing the settings of any software, including the operating system and security programs",,16-24 years,Gipuzkoa,%,35.6
2020,"Changing the settings of any software, including the operating system and security programs",,16-24 years,Gipuzkoa,%,46.46
2019,"Changing the settings of any software, including the operating system and security programs",,16-24 years,Gipuzkoa,%,26.03
2023,"Changing the settings of any software, including the operating system and security programs",,16-24 years,Gipuzkoa,%,48.36
2021,"Changing the settings of any software, including the operating system and security programs",,16-74 years,,%,27.86
2019,"Changing the settings of any software, including the operating system and security programs",,16-74 years,,%,15.99
2022,"Changing the settings of any software, including the operating system and security programs",,16-74 years,,%,23.02
2020,"Changing the settings of any software, including the operating system and security programs",,16-74 years,,%,28.44
2023,"Changing the settings of any software, including the operating system and security programs",,16-74 years,,%,33.43
2021,"Changing the settings of any software, including the operating system and security programs",,16-74 years,Araba/Álava,%,26.99
2019,"Changing the settings of any software, including the operating system and security programs",,16-74 years,Araba/Álava,%,16.17
2023,"Changing the settings of any software, including the operating system and security programs",,16-74 years,Araba/Álava,%,31.66
2022,"Changing the settings of any software, including the operating system and security programs",,16-74 years,Araba/Álava,%,23.59
2020,"Changing the settings of any software, including the operating system and security programs",,16-74 years,Araba/Álava,%,26.81
2019,"Changing the settings of any software, including the operating system and security programs",,16-74 years,Bizkaia,%,16.73
2020,"Changing the settings of any software, including the operating system and security programs",,16-74 years,Bizkaia,%,27.9
2023,"Changing the settings of any software, including the operating system and security programs",,16-74 years,Bizkaia,%,34.41
2021,"Changing the settings of any software, including the operating system and security programs",,16-74 years,Bizkaia,%,27.96
2022,"Changing the settings of any software, including the operating system and security programs",,16-74 years,Bizkaia,%,22.47
2023,"Changing the settings of any software, including the operating system and security programs",,16-74 years,Gipuzkoa,%,32.69
2021,"Changing the settings of any software, including the operating system and security programs",,16-74 years,Gipuzkoa,%,28.08
2020,"Changing the settings of any software, including the operating system and security programs",,16-74 years,Gipuzkoa,%,30.07
2022,"Changing the settings of any software, including the operating system and security programs",,16-74 years,Gipuzkoa,%,23.66
2019,"Changing the settings of any software, including the operating system and security programs",,16-74 years,Gipuzkoa,%,14.73
2022,"Changing the settings of any software, including the operating system and security programs",,25-74 years,,%,21.22
2019,"Changing the settings of any software, including the operating system and security programs",,25-74 years,,%,14.77
2023,"Changing the settings of any software, including the operating system and security programs",,25-74 years,,%,31.83
2021,"Changing the settings of any software, including the operating system and security programs",,25-74 years,,%,25.39
2020,"Changing the settings of any software, including the operating system and security programs",,25-74 years,,%,26.13
2022,"Changing the settings of any software, including the operating system and security programs",,25-74 years,Araba/Álava,%,21.59
2019,"Changing the settings of any software, including the operating system and security programs",,25-74 years,Araba/Álava,%,15.19
2023,"Changing the settings of any software, including the operating system and security programs",,25-74 years,Araba/Álava,%,30.59
2020,"Changing the settings of any software, including the operating system and security programs",,25-74 years,Araba/Álava,%,23.79
2021,"Changing the settings of any software, including the operating system and security programs",,25-74 years,Araba/Álava,%,25.17
2023,"Changing the settings of any software, including the operating system and security programs",,25-74 years,Bizkaia,%,33.0
2019,"Changing the settings of any software, including the operating system and security programs",,25-74 years,Bizkaia,%,15.54
2021,"Changing the settings of any software, including the operating system and security programs",,25-74 years,Bizkaia,%,25.51
2020,"Changing the settings of any software, including the operating system and security programs",,25-74 years,Bizkaia,%,25.71
2022,"Changing the settings of any software, including the operating system and security programs",,25-74 years,Bizkaia,%,20.65
2020,"Changing the settings of any software, including the operating system and security programs",,25-74 years,Gipuzkoa,%,27.92
2021,"Changing the settings of any software, including the operating system and security programs",,25-74 years,Gipuzkoa,%,25.3
2019,"Changing the settings of any software, including the operating system and security programs",,25-74 years,Gipuzkoa,%,13.32
2023,"Changing the settings of any software, including the operating system and security programs",,25-74 years,Gipuzkoa,%,30.5
2022,"Changing the settings of any software, including the operating system and security programs",,25-74 years,Gipuzkoa,%,21.98
2019,"Changing the settings of any software, including the operating system and security programs",Female,16-24 years,,%,20.92
2021,"Changing the settings of any software, including the operating system and security programs",Female,16-24 years,,%,38.31
2023,"Changing the settings of any software, including the operating system and security programs",Female,16-24 years,,%,43.67
2022,"Changing the settings of any software, including the operating system and security programs",Female,16-24 years,,%,33.27
2020,"Changing the settings of any software, including the operating system and security programs",Female,16-24 years,,%,46.26
2022,"Changing the settings of any software, including the operating system and security programs",Female,16-24 years,Araba/Álava,%,37.67
2021,"Changing the settings of any software, including the operating system and security programs",Female,16-24 years,Araba/Álava,%,37.98
2019,"Changing the settings of any software, including the operating system and security programs",Female,16-24 years,Araba/Álava,%,15.98
2020,"Changing the settings of any software, including the operating system and security programs",Female,16-24 years,Araba/Álava,%,53.03
2023,"Changing the settings of any software, including the operating system and security programs",Female,16-24 years,Araba/Álava,%,40.89
2021,"Changing the settings of any software, including the operating system and security programs",Female,16-24 years,Bizkaia,%,39.11
2019,"Changing the settings of any software, including the operating system and security programs",Female,16-24 years,Bizkaia,%,23.45
2023,"Changing the settings of any software, including the operating system and security programs",Female,16-24 years,Bizkaia,%,39.79
2022,"Changing the settings of any software, including the operating system and security programs",Female,16-24 years,Bizkaia,%,29.02
2020,"Changing the settings of any software, including the operating system and security programs",Female,16-24 years,Bizkaia,%,45.21
2022,"Changing the settings of any software, including the operating system and security programs",Female,16-24 years,Gipuzkoa,%,38.14
2020,"Changing the settings of any software, including the operating system and security programs",Female,16-24 years,Gipuzkoa,%,44.88
2023,"Changing the settings of any software, including the operating system and security programs",Female,16-24 years,Gipuzkoa,%,50.47
2021,"Changing the settings of any software, including the operating system and security programs",Female,16-24 years,Gipuzkoa,%,37.19
2019,"Changing the settings of any software, including the operating system and security programs",Female,16-24 years,Gipuzkoa,%,19.62
2023,"Changing the settings of any software, including the operating system and security programs",Female,16-74 years,,%,29.31
2021,"Changing the settings of any software, including the operating system and security programs",Female,16-74 years,,%,23.51
2019,"Changing the settings of any software, including the operating system and security programs",Female,16-74 years,,%,11.61
2020,"Changing the settings of any software, including the operating system and security programs",Female,16-74 years,,%,25.47
2022,"Changing the settings of any software, including the operating system and security programs",Female,16-74 years,,%,19.46
2022,"Changing the settings of any software, including the operating system and security programs",Female,16-74 years,Araba/Álava,%,19.28
2020,"Changing the settings of any software, including the operating system and security programs",Female,16-74 years,Araba/Álava,%,24.4
2019,"Changing the settings of any software, including the operating system and security programs",Female,16-74 years,Araba/Álava,%,8.75
2023,"Changing the settings of any software, including the operating system and security programs",Female,16-74 years,Araba/Álava,%,26.0
2021,"Changing the settings of any software, including the operating system and security programs",Female,16-74 years,Araba/Álava,%,24.05
2020,"Changing the settings of any software, including the operating system and security programs",Female,16-74 years,Bizkaia,%,24.81
2022,"Changing the settings of any software, including the operating system and security programs",Female,16-74 years,Bizkaia,%,18.43
2021,"Changing the settings of any software, including the operating system and security programs",Female,16-74 years,Bizkaia,%,22.38
2023,"Changing the settings of any software, including the operating system and security programs",Female,16-74 years,Bizkaia,%,30.26
2019,"Changing the settings of any software, including the operating system and security programs",Female,16-74 years,Bizkaia,%,13.52
2019,"Changing the settings of any software, including the operating system and security programs",Female,16-74 years,Gipuzkoa,%,9.81
2023,"Changing the settings of any software, including the operating system and security programs",Female,16-74 years,Gipuzkoa,%,29.29
2021,"Changing the settings of any software, including the operating system and security programs",Female,16-74 years,Gipuzkoa,%,25.12
2020,"Changing the settings of any software, including the operating system and security programs",Female,16-74 years,Gipuzkoa,%,27.06
2022,"Changing the settings of any software, including the operating system and security programs",Female,16-74 years,Gipuzkoa,%,21.28
2023,"Changing the settings of any software, including the operating system and security programs",Female,25-74 years,,%,27.52
2020,"Changing the settings of any software, including the operating system and security programs",Female,25-74 years,,%,23.03
2022,"Changing the settings of any software, including the operating system and security programs",Female,25-74 years,,%,17.71
2019,"Changing the settings of any software, including the operating system and security programs",Female,25-74 years,,%,10.57
2021,"Changing the settings of any software, including the operating system and security programs",Female,25-74 years,,%,21.65
2020,"Changing the settings of any software, including the operating system and security programs",Female,25-74 years,Araba/Álava,%,21.12
2021,"Changing the settings of any software, including the operating system and security programs",Female,25-74 years,Araba/Álava,%,22.35
2019,"Changing the settings of any software, including the operating system and security programs",Female,25-74 years,Araba/Álava,%,7.88
2022,"Changing the settings of any software, including the operating system and security programs",Female,25-74 years,Araba/Álava,%,17.14
2023,"Changing the settings of any software, including the operating system and security programs",Female,25-74 years,Araba/Álava,%,24.23
2021,"Changing the settings of any software, including the operating system and security programs",Female,25-74 years,Bizkaia,%,20.3
2022,"Changing the settings of any software, including the operating system and security programs",Female,25-74 years,Bizkaia,%,17.11
2020,"Changing the settings of any software, including the operating system and security programs",Female,25-74 years,Bizkaia,%,22.48
2019,"Changing the settings of any software, including the operating system and security programs",Female,25-74 years,Bizkaia,%,12.49
2023,"Changing the settings of any software, including the operating system and security programs",Female,25-74 years,Bizkaia,%,29.11
2020,"Changing the settings of any software, including the operating system and security programs",Female,25-74 years,Gipuzkoa,%,24.83
2019,"Changing the settings of any software, including the operating system and security programs",Female,25-74 years,Gipuzkoa,%,8.62
2023,"Changing the settings of any software, including the operating system and security programs",Female,25-74 years,Gipuzkoa,%,26.42
2021,"Changing the settings of any software, including the operating system and security programs",Female,25-74 years,Gipuzkoa,%,23.57
2022,"Changing the settings of any software, including the operating system and security programs",Female,25-74 years,Gipuzkoa,%,19.01
2023,"Changing the settings of any software, including the operating system and security programs",Male,16-24 years,,%,47.3
2022,"Changing the settings of any software, including the operating system and security programs",Male,16-24 years,,%,39.99
