Year,Series,Age,Sex,Type of contract,Province,County,Municipality,Units,GeoCode,Value
2018,Employment rate,16 years and over,Male,,,,Gorliz,%,Gorliz,58.4
2015,Employment rate,16 years and over,Male,,,,Gorliz,%,Gorliz,57.3
2010,Employment rate,16 years and over,Male,,,,Gorliz,%,Gorliz,59.6
2021,Employment rate,16 years and over,Male,,,,Gorliz,%,Gorliz,56.1
2016,Employment rate,16 years and over,Male,,,,Güeñes,%,Güeñes,53.4
2020,Employment rate,16 years and over,Male,,,,Güeñes,%,Güeñes,56.7
2021,Employment rate,16 years and over,Male,,,,Güeñes,%,Güeñes,56.5
2022,Employment rate,16 years and over,Male,,,,Güeñes,%,Güeñes,56.8
2018,Employment rate,16 years and over,Male,,,,Güeñes,%,Güeñes,56.8
2015,Employment rate,16 years and over,Male,,,,Güeñes,%,Güeñes,53.2
2010,Employment rate,16 years and over,Male,,,,Güeñes,%,Güeñes,58.6
2019,Employment rate,16 years and over,Male,,,,Güeñes,%,Güeñes,58.1
2023,Employment rate,16 years and over,Male,,,,Güeñes,%,Güeñes,57.8
2022,Employment rate,16 years and over,Male,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,46.4
2019,Employment rate,16 years and over,Male,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,45.7
2023,Employment rate,16 years and over,Male,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,46.7
2021,Employment rate,16 years and over,Male,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,46.0
2015,Employment rate,16 years and over,Male,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,44.0
2020,Employment rate,16 years and over,Male,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,44.5
2010,Employment rate,16 years and over,Male,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,46.2
2018,Employment rate,16 years and over,Male,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,45.5
2016,Employment rate,16 years and over,Male,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,40.9
2023,Employment rate,16 years and over,Male,,,,Hernani,%,Hernani,58.4
2015,Employment rate,16 years and over,Male,,,,Hernani,%,Hernani,55.3
2022,Employment rate,16 years and over,Male,,,,Hernani,%,Hernani,58.7
2010,Employment rate,16 years and over,Male,,,,Hernani,%,Hernani,59.1
2020,Employment rate,16 years and over,Male,,,,Hernani,%,Hernani,58.9
2019,Employment rate,16 years and over,Male,,,,Hernani,%,Hernani,58.8
2016,Employment rate,16 years and over,Male,,,,Hernani,%,Hernani,54.9
2018,Employment rate,16 years and over,Male,,,,Hernani,%,Hernani,58.0
2021,Employment rate,16 years and over,Male,,,,Hernani,%,Hernani,57.0
2015,Employment rate,16 years and over,Male,,,,Hernialde,%,Hernialde,48.1
2023,Employment rate,16 years and over,Male,,,,Hernialde,%,Hernialde,49.3
2016,Employment rate,16 years and over,Male,,,,Hernialde,%,Hernialde,46.2
2020,Employment rate,16 years and over,Male,,,,Hernialde,%,Hernialde,50.0
2021,Employment rate,16 years and over,Male,,,,Hernialde,%,Hernialde,48.3
2022,Employment rate,16 years and over,Male,,,,Hernialde,%,Hernialde,47.9
2018,Employment rate,16 years and over,Male,,,,Hernialde,%,Hernialde,50.8
2010,Employment rate,16 years and over,Male,,,,Hernialde,%,Hernialde,57.6
2019,Employment rate,16 years and over,Male,,,,Hernialde,%,Hernialde,52.0
2019,Employment rate,16 years and over,Male,,,,Hondarribia,%,Hondarribia,53.8
2010,Employment rate,16 years and over,Male,,,,Hondarribia,%,Hondarribia,56.4
2018,Employment rate,16 years and over,Male,,,,Hondarribia,%,Hondarribia,53.6
2016,Employment rate,16 years and over,Male,,,,Hondarribia,%,Hondarribia,51.8
2020,Employment rate,16 years and over,Male,,,,Hondarribia,%,Hondarribia,53.1
2015,Employment rate,16 years and over,Male,,,,Hondarribia,%,Hondarribia,52.8
2023,Employment rate,16 years and over,Male,,,,Hondarribia,%,Hondarribia,54.7
2022,Employment rate,16 years and over,Male,,,,Hondarribia,%,Hondarribia,54.9
2021,Employment rate,16 years and over,Male,,,,Hondarribia,%,Hondarribia,52.2
2023,Employment rate,16 years and over,Male,,,,Ibarra,%,Ibarra,55.1
2018,Employment rate,16 years and over,Male,,,,Ibarra,%,Ibarra,53.1
2020,Employment rate,16 years and over,Male,,,,Ibarra,%,Ibarra,55.0
2019,Employment rate,16 years and over,Male,,,,Ibarra,%,Ibarra,56.7
2016,Employment rate,16 years and over,Male,,,,Ibarra,%,Ibarra,53.3
2010,Employment rate,16 years and over,Male,,,,Ibarra,%,Ibarra,58.4
2015,Employment rate,16 years and over,Male,,,,Ibarra,%,Ibarra,53.6
2022,Employment rate,16 years and over,Male,,,,Ibarra,%,Ibarra,54.1
2021,Employment rate,16 years and over,Male,,,,Ibarra,%,Ibarra,52.1
2021,Employment rate,16 years and over,Male,,,,Ibarrangelu,%,Ibarrangelu,54.2
2022,Employment rate,16 years and over,Male,,,,Ibarrangelu,%,Ibarrangelu,54.1
2010,Employment rate,16 years and over,Male,,,,Ibarrangelu,%,Ibarrangelu,58.0
2023,Employment rate,16 years and over,Male,,,,Ibarrangelu,%,Ibarrangelu,54.7
2019,Employment rate,16 years and over,Male,,,,Ibarrangelu,%,Ibarrangelu,56.8
2018,Employment rate,16 years and over,Male,,,,Ibarrangelu,%,Ibarrangelu,57.3
2016,Employment rate,16 years and over,Male,,,,Ibarrangelu,%,Ibarrangelu,57.0
2020,Employment rate,16 years and over,Male,,,,Ibarrangelu,%,Ibarrangelu,52.4
2015,Employment rate,16 years and over,Male,,,,Ibarrangelu,%,Ibarrangelu,56.4
2020,Employment rate,16 years and over,Male,,,,Idiazabal,%,Idiazabal,58.4
2023,Employment rate,16 years and over,Male,,,,Idiazabal,%,Idiazabal,58.4
2019,Employment rate,16 years and over,Male,,,,Idiazabal,%,Idiazabal,58.1
2022,Employment rate,16 years and over,Male,,,,Idiazabal,%,Idiazabal,58.7
2010,Employment rate,16 years and over,Male,,,,Idiazabal,%,Idiazabal,59.1
2021,Employment rate,16 years and over,Male,,,,Idiazabal,%,Idiazabal,56.2
2018,Employment rate,16 years and over,Male,,,,Idiazabal,%,Idiazabal,57.3
2015,Employment rate,16 years and over,Male,,,,Idiazabal,%,Idiazabal,59.3
2016,Employment rate,16 years and over,Male,,,,Idiazabal,%,Idiazabal,58.5
2022,Employment rate,16 years and over,Male,,,,Igorre,%,Igorre,55.7
2015,Employment rate,16 years and over,Male,,,,Igorre,%,Igorre,55.8
2021,Employment rate,16 years and over,Male,,,,Igorre,%,Igorre,52.6
2016,Employment rate,16 years and over,Male,,,,Igorre,%,Igorre,56.2
2019,Employment rate,16 years and over,Male,,,,Igorre,%,Igorre,57.8
2023,Employment rate,16 years and over,Male,,,,Igorre,%,Igorre,55.3
2010,Employment rate,16 years and over,Male,,,,Igorre,%,Igorre,61.9
2020,Employment rate,16 years and over,Male,,,,Igorre,%,Igorre,56.2
2018,Employment rate,16 years and over,Male,,,,Igorre,%,Igorre,58.2
2022,Employment rate,16 years and over,Male,,,,Ikaztegieta,%,Ikaztegieta,50.7
2018,Employment rate,16 years and over,Male,,,,Ikaztegieta,%,Ikaztegieta,55.5
2020,Employment rate,16 years and over,Male,,,,Ikaztegieta,%,Ikaztegieta,56.7
2023,Employment rate,16 years and over,Male,,,,Ikaztegieta,%,Ikaztegieta,49.8
2019,Employment rate,16 years and over,Male,,,,Ikaztegieta,%,Ikaztegieta,58.4
2015,Employment rate,16 years and over,Male,,,,Ikaztegieta,%,Ikaztegieta,56.1
2016,Employment rate,16 years and over,Male,,,,Ikaztegieta,%,Ikaztegieta,53.6
2010,Employment rate,16 years and over,Male,,,,Ikaztegieta,%,Ikaztegieta,55.0
2021,Employment rate,16 years and over,Male,,,,Ikaztegieta,%,Ikaztegieta,50.0
2023,Employment rate,16 years and over,Male,,,,Irun,%,Irun,55.4
2016,Employment rate,16 years and over,Male,,,,Irun,%,Irun,52.0
2019,Employment rate,16 years and over,Male,,,,Irun,%,Irun,54.9
2022,Employment rate,16 years and over,Male,,,,Irun,%,Irun,54.5
2015,Employment rate,16 years and over,Male,,,,Irun,%,Irun,52.5
2010,Employment rate,16 years and over,Male,,,,Irun,%,Irun,57.1
2021,Employment rate,16 years and over,Male,,,,Irun,%,Irun,52.6
2020,Employment rate,16 years and over,Male,,,,Irun,%,Irun,54.1
2018,Employment rate,16 years and over,Male,,,,Irun,%,Irun,54.6
2021,Employment rate,16 years and over,Male,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,61.2
2022,Employment rate,16 years and over,Male,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,60.8
2019,Employment rate,16 years and over,Male,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,65.4
2015,Employment rate,16 years and over,Male,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,64.4
2010,Employment rate,16 years and over,Male,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,68.4
2020,Employment rate,16 years and over,Male,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,63.8
2018,Employment rate,16 years and over,Male,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,66.4
2016,Employment rate,16 years and over,Male,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,64.6
2023,Employment rate,16 years and over,Male,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,60.7
2015,Employment rate,16 years and over,Male,,,,Irura,%,Irura,67.9
2016,Employment rate,16 years and over,Male,,,,Irura,%,Irura,68.4
2022,Employment rate,16 years and over,Male,,,,Irura,%,Irura,72.3
2010,Employment rate,16 years and over,Male,,,,Irura,%,Irura,72.9
2018,Employment rate,16 years and over,Male,,,,Irura,%,Irura,71.7
2023,Employment rate,16 years and over,Male,,,,Irura,%,Irura,72.1
2019,Employment rate,16 years and over,Male,,,,Irura,%,Irura,71.1
2021,Employment rate,16 years and over,Male,,,,Irura,%,Irura,69.2
2020,Employment rate,16 years and over,Male,,,,Irura,%,Irura,72.2
2010,Employment rate,16 years and over,Male,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,66.9
2019,Employment rate,16 years and over,Male,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,64.3
2021,Employment rate,16 years and over,Male,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,62.2
2015,Employment rate,16 years and over,Male,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,61.9
2020,Employment rate,16 years and over,Male,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,63.3
2016,Employment rate,16 years and over,Male,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,62.5
2018,Employment rate,16 years and over,Male,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,62.6
2022,Employment rate,16 years and over,Male,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,65.4
2023,Employment rate,16 years and over,Male,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,58.8
2015,Employment rate,16 years and over,Male,,,,Ispaster,%,Ispaster,56.4
2018,Employment rate,16 years and over,Male,,,,Ispaster,%,Ispaster,51.9
2021,Employment rate,16 years and over,Male,,,,Ispaster,%,Ispaster,49.2
2020,Employment rate,16 years and over,Male,,,,Ispaster,%,Ispaster,50.3
2022,Employment rate,16 years and over,Male,,,,Ispaster,%,Ispaster,48.6
2016,Employment rate,16 years and over,Male,,,,Ispaster,%,Ispaster,53.6
2023,Employment rate,16 years and over,Male,,,,Ispaster,%,Ispaster,47.5
2010,Employment rate,16 years and over,Male,,,,Ispaster,%,Ispaster,59.9
2019,Employment rate,16 years and over,Male,,,,Ispaster,%,Ispaster,51.4
2023,Employment rate,16 years and over,Male,,,,Itsasondo,%,Itsasondo,60.5
2020,Employment rate,16 years and over,Male,,,,Itsasondo,%,Itsasondo,58.0
2010,Employment rate,16 years and over,Male,,,,Itsasondo,%,Itsasondo,60.3
2015,Employment rate,16 years and over,Male,,,,Itsasondo,%,Itsasondo,58.1
2016,Employment rate,16 years and over,Male,,,,Itsasondo,%,Itsasondo,57.9
2022,Employment rate,16 years and over,Male,,,,Itsasondo,%,Itsasondo,57.4
2021,Employment rate,16 years and over,Male,,,,Itsasondo,%,Itsasondo,55.0
2018,Employment rate,16 years and over,Male,,,,Itsasondo,%,Itsasondo,59.6
2019,Employment rate,16 years and over,Male,,,,Itsasondo,%,Itsasondo,55.6
2015,Employment rate,16 years and over,Male,,,,Iurreta,%,Iurreta,51.3
2018,Employment rate,16 years and over,Male,,,,Iurreta,%,Iurreta,54.5
2022,Employment rate,16 years and over,Male,,,,Iurreta,%,Iurreta,56.7
2010,Employment rate,16 years and over,Male,,,,Iurreta,%,Iurreta,56.3
2023,Employment rate,16 years and over,Male,,,,Iurreta,%,Iurreta,56.4
2019,Employment rate,16 years and over,Male,,,,Iurreta,%,Iurreta,55.6
2021,Employment rate,16 years and over,Male,,,,Iurreta,%,Iurreta,53.6
2020,Employment rate,16 years and over,Male,,,,Iurreta,%,Iurreta,53.3
2016,Employment rate,16 years and over,Male,,,,Iurreta,%,Iurreta,53.0
2015,Employment rate,16 years and over,Male,,,,Izurtza,%,Izurtza,62.0
2018,Employment rate,16 years and over,Male,,,,Izurtza,%,Izurtza,53.1
2019,Employment rate,16 years and over,Male,,,,Izurtza,%,Izurtza,52.6
2016,Employment rate,16 years and over,Male,,,,Izurtza,%,Izurtza,56.7
2023,Employment rate,16 years and over,Male,,,,Izurtza,%,Izurtza,48.9
2010,Employment rate,16 years and over,Male,,,,Izurtza,%,Izurtza,58.9
2021,Employment rate,16 years and over,Male,,,,Izurtza,%,Izurtza,49.3
2020,Employment rate,16 years and over,Male,,,,Izurtza,%,Izurtza,45.5
2022,Employment rate,16 years and over,Male,,,,Izurtza,%,Izurtza,52.6
2023,Employment rate,16 years and over,Male,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,48.4
2021,Employment rate,16 years and over,Male,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,46.7
2010,Employment rate,16 years and over,Male,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,51.7
2016,Employment rate,16 years and over,Male,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,44.5
2020,Employment rate,16 years and over,Male,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,45.0
2019,Employment rate,16 years and over,Male,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,45.8
2015,Employment rate,16 years and over,Male,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,46.1
2022,Employment rate,16 years and over,Male,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,47.8
2018,Employment rate,16 years and over,Male,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,45.1
2023,Employment rate,16 years and over,Male,,,,Kortezubi,%,Kortezubi,56.2
2021,Employment rate,16 years and over,Male,,,,Kortezubi,%,Kortezubi,59.5
2018,Employment rate,16 years and over,Male,,,,Kortezubi,%,Kortezubi,63.0
2016,Employment rate,16 years and over,Male,,,,Kortezubi,%,Kortezubi,60.5
2010,Employment rate,16 years and over,Male,,,,Kortezubi,%,Kortezubi,63.8
2020,Employment rate,16 years and over,Male,,,,Kortezubi,%,Kortezubi,59.0
2022,Employment rate,16 years and over,Male,,,,Kortezubi,%,Kortezubi,58.5
2019,Employment rate,16 years and over,Male,,,,Kortezubi,%,Kortezubi,60.8
2015,Employment rate,16 years and over,Male,,,,Kortezubi,%,Kortezubi,58.7
2015,Employment rate,16 years and over,Male,,,,Kripan,%,Kripan,50.6
2023,Employment rate,16 years and over,Male,,,,Kripan,%,Kripan,56.5
2021,Employment rate,16 years and over,Male,,,,Kripan,%,Kripan,45.9
2010,Employment rate,16 years and over,Male,,,,Kripan,%,Kripan,52.4
2018,Employment rate,16 years and over,Male,,,,Kripan,%,Kripan,54.2
2019,Employment rate,16 years and over,Male,,,,Kripan,%,Kripan,54.8
2016,Employment rate,16 years and over,Male,,,,Kripan,%,Kripan,47.6
2022,Employment rate,16 years and over,Male,,,,Kripan,%,Kripan,55.3
2020,Employment rate,16 years and over,Male,,,,Kripan,%,Kripan,52.4
2023,Employment rate,16 years and over,Male,,,,Kuartango,%,Kuartango,58.5
2018,Employment rate,16 years and over,Male,,,,Kuartango,%,Kuartango,57.8
2019,Employment rate,16 years and over,Male,,,,Kuartango,%,Kuartango,55.7
2016,Employment rate,16 years and over,Male,,,,Kuartango,%,Kuartango,57.0
2021,Employment rate,16 years and over,Male,,,,Kuartango,%,Kuartango,57.2
2015,Employment rate,16 years and over,Male,,,,Kuartango,%,Kuartango,55.7
2022,Employment rate,16 years and over,Male,,,,Kuartango,%,Kuartango,56.7
2010,Employment rate,16 years and over,Male,,,,Kuartango,%,Kuartango,64.0
2020,Employment rate,16 years and over,Male,,,,Kuartango,%,Kuartango,53.4
2019,Employment rate,16 years and over,Male,,,,Labastida/Bastida,%,Labastida/Bastida,49.8
2020,Employment rate,16 years and over,Male,,,,Labastida/Bastida,%,Labastida/Bastida,49.6
2015,Employment rate,16 years and over,Male,,,,Labastida/Bastida,%,Labastida/Bastida,49.6
2016,Employment rate,16 years and over,Male,,,,Labastida/Bastida,%,Labastida/Bastida,49.3
2010,Employment rate,16 years and over,Male,,,,Labastida/Bastida,%,Labastida/Bastida,51.8
2023,Employment rate,16 years and over,Male,,,,Labastida/Bastida,%,Labastida/Bastida,55.6
2021,Employment rate,16 years and over,Male,,,,Labastida/Bastida,%,Labastida/Bastida,50.1
2018,Employment rate,16 years and over,Male,,,,Labastida/Bastida,%,Labastida/Bastida,48.5
2022,Employment rate,16 years and over,Male,,,,Labastida/Bastida,%,Labastida/Bastida,56.2
2021,Employment rate,16 years and over,Male,,,,Lagrán,%,Lagrán,44.2
2015,Employment rate,16 years and over,Male,,,,Lagrán,%,Lagrán,47.7
2018,Employment rate,16 years and over,Male,,,,Lagrán,%,Lagrán,40.2
2020,Employment rate,16 years and over,Male,,,,Lagrán,%,Lagrán,40.7
2016,Employment rate,16 years and over,Male,,,,Lagrán,%,Lagrán,47.7
2019,Employment rate,16 years and over,Male,,,,Lagrán,%,Lagrán,39.5
2010,Employment rate,16 years and over,Male,,,,Lagrán,%,Lagrán,42.7
2023,Employment rate,16 years and over,Male,,,,Lagrán,%,Lagrán,46.7
2022,Employment rate,16 years and over,Male,,,,Lagrán,%,Lagrán,46.7
2016,Employment rate,16 years and over,Male,,,,Laguardia,%,Laguardia,56.1
2020,Employment rate,16 years and over,Male,,,,Laguardia,%,Laguardia,57.6
2023,Employment rate,16 years and over,Male,,,,Laguardia,%,Laguardia,56.0
2022,Employment rate,16 years and over,Male,,,,Laguardia,%,Laguardia,57.6
2019,Employment rate,16 years and over,Male,,,,Laguardia,%,Laguardia,58.4
2015,Employment rate,16 years and over,Male,,,,Laguardia,%,Laguardia,58.6
2021,Employment rate,16 years and over,Male,,,,Laguardia,%,Laguardia,56.3
2018,Employment rate,16 years and over,Male,,,,Laguardia,%,Laguardia,58.4
2010,Employment rate,16 years and over,Male,,,,Laguardia,%,Laguardia,60.2
2018,Employment rate,16 years and over,Male,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,50.6
2016,Employment rate,16 years and over,Male,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,48.7
2010,Employment rate,16 years and over,Male,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,55.4
2022,Employment rate,16 years and over,Male,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,54.4
2019,Employment rate,16 years and over,Male,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,55.6
2020,Employment rate,16 years and over,Male,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,52.0
2021,Employment rate,16 years and over,Male,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,52.3
2015,Employment rate,16 years and over,Male,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,51.3
2023,Employment rate,16 years and over,Male,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,52.3
2015,Employment rate,16 years and over,Male,,,,Lanestosa,%,Lanestosa,39.9
2020,Employment rate,16 years and over,Male,,,,Lanestosa,%,Lanestosa,43.5
2010,Employment rate,16 years and over,Male,,,,Lanestosa,%,Lanestosa,34.8
2022,Employment rate,16 years and over,Male,,,,Lanestosa,%,Lanestosa,41.1
2021,Employment rate,16 years and over,Male,,,,Lanestosa,%,Lanestosa,44.3
2016,Employment rate,16 years and over,Male,,,,Lanestosa,%,Lanestosa,34.5
2019,Employment rate,16 years and over,Male,,,,Lanestosa,%,Lanestosa,43.3
2023,Employment rate,16 years and over,Male,,,,Lanestosa,%,Lanestosa,38.3
2018,Employment rate,16 years and over,Male,,,,Lanestosa,%,Lanestosa,41.2
2023,Employment rate,16 years and over,Male,,,,Lantarón,%,Lantarón,50.4
2021,Employment rate,16 years and over,Male,,,,Lantarón,%,Lantarón,50.5
2018,Employment rate,16 years and over,Male,,,,Lantarón,%,Lantarón,54.2
2020,Employment rate,16 years and over,Male,,,,Lantarón,%,Lantarón,51.3
2015,Employment rate,16 years and over,Male,,,,Lantarón,%,Lantarón,50.9
2022,Employment rate,16 years and over,Male,,,,Lantarón,%,Lantarón,50.4
2016,Employment rate,16 years and over,Male,,,,Lantarón,%,Lantarón,48.7
2019,Employment rate,16 years and over,Male,,,,Lantarón,%,Lantarón,53.2
2010,Employment rate,16 years and over,Male,,,,Lantarón,%,Lantarón,50.4
2010,Employment rate,16 years and over,Male,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,51.0
2020,Employment rate,16 years and over,Male,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,52.8
2016,Employment rate,16 years and over,Male,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,52.6
2019,Employment rate,16 years and over,Male,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,57.9
2018,Employment rate,16 years and over,Male,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,56.8
2022,Employment rate,16 years and over,Male,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,53.5
2021,Employment rate,16 years and over,Male,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,56.2
2015,Employment rate,16 years and over,Male,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,52.1
2023,Employment rate,16 years and over,Male,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,56.6
2016,Employment rate,16 years and over,Male,,,,Larrabetzu,%,Larrabetzu,59.8
2010,Employment rate,16 years and over,Male,,,,Larrabetzu,%,Larrabetzu,61.0
2020,Employment rate,16 years and over,Male,,,,Larrabetzu,%,Larrabetzu,60.8
2019,Employment rate,16 years and over,Male,,,,Larrabetzu,%,Larrabetzu,62.0
2018,Employment rate,16 years and over,Male,,,,Larrabetzu,%,Larrabetzu,61.6
2021,Employment rate,16 years and over,Male,,,,Larrabetzu,%,Larrabetzu,58.3
2015,Employment rate,16 years and over,Male,,,,Larrabetzu,%,Larrabetzu,60.7
2022,Employment rate,16 years and over,Male,,,,Larrabetzu,%,Larrabetzu,59.9
2023,Employment rate,16 years and over,Male,,,,Larrabetzu,%,Larrabetzu,61.2
2010,Employment rate,16 years and over,Male,,,,Larraul,%,Larraul,73.3
2016,Employment rate,16 years and over,Male,,,,Larraul,%,Larraul,64.2
2021,Employment rate,16 years and over,Male,,,,Larraul,%,Larraul,63.0
2015,Employment rate,16 years and over,Male,,,,Larraul,%,Larraul,60.7
2023,Employment rate,16 years and over,Male,,,,Larraul,%,Larraul,63.9
2019,Employment rate,16 years and over,Male,,,,Larraul,%,Larraul,65.7
2020,Employment rate,16 years and over,Male,,,,Larraul,%,Larraul,67.2
2018,Employment rate,16 years and over,Male,,,,Larraul,%,Larraul,68.5
2022,Employment rate,16 years and over,Male,,,,Larraul,%,Larraul,58.9
2021,Employment rate,16 years and over,Male,,,,Lasarte-Oria,%,Lasarte-Oria,54.4
2023,Employment rate,16 years and over,Male,,,,Lasarte-Oria,%,Lasarte-Oria,56.6
2019,Employment rate,16 years and over,Male,,,,Lasarte-Oria,%,Lasarte-Oria,54.8
2016,Employment rate,16 years and over,Male,,,,Lasarte-Oria,%,Lasarte-Oria,52.1
2010,Employment rate,16 years and over,Male,,,,Lasarte-Oria,%,Lasarte-Oria,56.8
2022,Employment rate,16 years and over,Male,,,,Lasarte-Oria,%,Lasarte-Oria,56.6
2020,Employment rate,16 years and over,Male,,,,Lasarte-Oria,%,Lasarte-Oria,54.9
2018,Employment rate,16 years and over,Male,,,,Lasarte-Oria,%,Lasarte-Oria,53.9
2015,Employment rate,16 years and over,Male,,,,Lasarte-Oria,%,Lasarte-Oria,52.7
2010,Employment rate,16 years and over,Male,,,,Laudio/Llodio,%,Laudio/Llodio,55.3
2021,Employment rate,16 years and over,Male,,,,Laudio/Llodio,%,Laudio/Llodio,51.5
2022,Employment rate,16 years and over,Male,,,,Laudio/Llodio,%,Laudio/Llodio,53.7
2023,Employment rate,16 years and over,Male,,,,Laudio/Llodio,%,Laudio/Llodio,53.4
2019,Employment rate,16 years and over,Male,,,,Laudio/Llodio,%,Laudio/Llodio,52.9
2018,Employment rate,16 years and over,Male,,,,Laudio/Llodio,%,Laudio/Llodio,52.6
2015,Employment rate,16 years and over,Male,,,,Laudio/Llodio,%,Laudio/Llodio,51.2
2016,Employment rate,16 years and over,Male,,,,Laudio/Llodio,%,Laudio/Llodio,51.5
2020,Employment rate,16 years and over,Male,,,,Laudio/Llodio,%,Laudio/Llodio,52.7
2022,Employment rate,16 years and over,Male,,,,Laukiz,%,Laukiz,57.3
2018,Employment rate,16 years and over,Male,,,,Laukiz,%,Laukiz,54.1
2010,Employment rate,16 years and over,Male,,,,Laukiz,%,Laukiz,58.6
2015,Employment rate,16 years and over,Male,,,,Laukiz,%,Laukiz,54.3
2019,Employment rate,16 years and over,Male,,,,Laukiz,%,Laukiz,53.1
2016,Employment rate,16 years and over,Male,,,,Laukiz,%,Laukiz,54.6
2021,Employment rate,16 years and over,Male,,,,Laukiz,%,Laukiz,54.5
2023,Employment rate,16 years and over,Male,,,,Laukiz,%,Laukiz,57.7
2020,Employment rate,16 years and over,Male,,,,Laukiz,%,Laukiz,52.5
2021,Employment rate,16 years and over,Male,,,,Lazkao,%,Lazkao,61.1
2023,Employment rate,16 years and over,Male,,,,Lazkao,%,Lazkao,63.3
2022,Employment rate,16 years and over,Male,,,,Lazkao,%,Lazkao,63.2
2019,Employment rate,16 years and over,Male,,,,Lazkao,%,Lazkao,62.8
2018,Employment rate,16 years and over,Male,,,,Lazkao,%,Lazkao,62.6
2016,Employment rate,16 years and over,Male,,,,Lazkao,%,Lazkao,61.3
2020,Employment rate,16 years and over,Male,,,,Lazkao,%,Lazkao,62.0
2010,Employment rate,16 years and over,Male,,,,Lazkao,%,Lazkao,61.4
2015,Employment rate,16 years and over,Male,,,,Lazkao,%,Lazkao,59.8
2019,Employment rate,16 years and over,Male,,,,Leaburu,%,Leaburu,56.0
2010,Employment rate,16 years and over,Male,,,,Leaburu,%,Leaburu,61.0
2023,Employment rate,16 years and over,Male,,,,Leaburu,%,Leaburu,56.3
2020,Employment rate,16 years and over,Male,,,,Leaburu,%,Leaburu,57.5
2022,Employment rate,16 years and over,Male,,,,Leaburu,%,Leaburu,53.7
2015,Employment rate,16 years and over,Male,,,,Leaburu,%,Leaburu,58.1
2021,Employment rate,16 years and over,Male,,,,Leaburu,%,Leaburu,57.1
2016,Employment rate,16 years and over,Male,,,,Leaburu,%,Leaburu,56.7
2018,Employment rate,16 years and over,Male,,,,Leaburu,%,Leaburu,58.2
